occupancy,throughput
0.157732,9155.802125
0.155734,9161.593281
0.169288,9222.516058
0.162153,9129.425304
0.160058,9154.420772
0.168694,9148.220195
0.178700,9168.042307
0.174671,9184.156658
0.184577,9190.982168
0.190835,9178.298161
0.199663,9157.021109
0.179533,9195.265342
0.202926,9144.525962
0.190805,9206.144943
0.196715,9186.488681
0.182927,9178.470033
0.160505,9197.086978
0.207750,9123.185273
0.193689,9183.949174
0.159727,9152.592591
0.173054,9183.438066
0.162630,9176.457044
0.180403,9150.495454
0.052278,9193.981998
0.045361,9166.218754
0.051198,9167.432180
0.047866,9057.793804
0.056637,9161.774608
0.067515,9108.573119
0.064163,9146.616941
0.062748,9181.138019
0.060083,9124.417255
0.071085,9183.119334
0.064456,9156.591834
0.067859,9165.736495
0.063562,9180.962643
0.057944,9137.475312
0.063270,9204.414582
0.065196,9133.519498
0.057654,9163.856747
0.043791,9157.688610
0.074767,9167.512836
0.087229,9171.880088
0.078009,9153.601273
0.064997,9191.728971
0.068121,9161.620115
0.058260,9180.858144
0.102704,9133.114081
0.098964,9198.381294
0.097463,9152.989708
